id,pre,post,space,decompose,parametric,debug,engineering,interest,project,source
学员A01,59.8,70.6,71.1,69.9,75.6,70.4,74.2,65.8,71.4,demo
学员A02,66.7,83.2,80.2,80.9,86.5,81.8,84,79.9,85.9,demo
学员A03,58.3,71.5,73,72.4,71.8,72.1,72.1,68.8,73.4,demo
学员A04,56.6,73.3,72.5,77.1,74.9,72.8,77.4,74.1,75.3,demo
学员A05,80.4,96.4,97.5,96.9,97.3,98.2,100,91.2,95.3,demo
学员A06,65.1,74,71.2,76.2,78.6,71,80.2,69.7,74.1,demo
学员A07,63.5,73.3,74.7,71.2,77.2,72.9,75.7,71.3,75.3,demo
学员A08,63.5,78.3,79.3,81,80,80.1,83.3,75.8,83.3,demo
学员A09,73.1,89,88.6,93.3,88.6,91.2,91.5,83.8,86.9,demo
学员A10,58.4,72.3,72.8,71.6,72.5,74.8,77.2,70.4,70.3,demo
学员A11,70.5,81.5,78.1,83.3,80,82.7,85.2,82.7,84.5,demo
学员A12,77.8,86.1,84.6,89.7,91.1,87.6,88.1,86.3,85.5,demo
学员A13,78.3,94.4,92.3,94.8,97.9,92.8,100,92.2,92.6,demo
学员A14,66.8,81.3,78.6,84.4,85,82.5,88,77.6,78.6,demo
学员A15,59.7,75.1,73.8,78.2,78.3,75,79.1,74,75.3,demo
学员A16,64.7,73.9,72.9,76.9,75,76.6,76.2,72.6,77.9,demo
学员A17,76.6,87.8,84.9,85.8,89.7,90.8,93.2,82.6,86,demo
学员A18,63.5,72.1,72.6,71.9,74.9,69.1,76.5,71.9,70.5,demo
学员A19,74.6,91.4,90.5,89.1,91.9,90.8,92.9,88.5,94.8,demo
学员A20,62.5,74.1,69.7,72.6,72.7,70.7,80.8,71.7,78.4,demo
学员A21,64.8,79.7,81.4,81.2,79.5,79.8,85.1,78.8,84.3,demo
学员A22,71,85.7,84.5,88,87.5,88.2,91.3,85.8,83.1,demo
学员A23,70.4,85.3,82.6,89.7,88.3,83.8,86.8,83.4,89.6,demo
学员A24,57.7,66.1,65.4,69.6,70,65.1,69.6,63.5,63.4,demo
学员A25,72.7,84.7,83.1,83.2,83.3,82.5,89.9,80.1,85.7,demo
学员A26,63.2,71.9,71.5,69.5,71,74.1,76.8,69.5,75.6,demo
学员A27,73.6,82.9,82.1,83.4,88.2,81,86.2,84.1,87.3,demo
学员A28,74.7,91.6,89.2,89.6,93.7,93.8,97.5,92.2,96.4,demo
学员A29,67.7,81,81.1,82.6,86.4,79.6,81.6,78.6,86,demo
学员A30,78.8,94.2,90.9,97.2,97.4,96.8,97.8,88.9,93.6,demo
